matchday,position,bey,matches,wins,losses,season_points,points_for,points_against,point_diff,elo,position_delta
1,1,LeonCrest,1,1,0,4,4,0,4,1000.0,0
1,2,TuskMammoth,1,1,0,4,4,0,4,1000.0,0
1,3,ImpactDrake,1,1,0,4,4,0,4,1000.0,0
1,4,CobaltDragoon,1,1,0,3,4,1,3,1000.0,0
1,5,GolemRock,1,1,0,3,4,3,1,1000.0,0
1,6,CerberusFlame,1,0,1,0,3,4,-1,1000.0,0
1,7,DranSword,1,0,1,0,1,4,-3,1000.0,0
1,8,FoxBrush,1,0,1,0,0,4,-4,1000.0,0
1,9,ScorpioSpear,1,0,1,0,0,4,-4,1000.0,0
1,10,ViperTail,1,0,1,0,0,4,-4,1000.0,0
2,1,ImpactDrake,2,2,0,8,10,0,10,1000.0,2
2,2,TuskMammoth,2,2,0,8,8,0,8,1000.0,0
2,3,CobaltDragoon,2,2,0,6,10,3,7,1000.0,1
2,4,LeonCrest,2,1,1,4,4,4,0,1000.0,-3
2,5,ScorpioSpear,2,1,1,4,4,4,0,1000.0,4
2,6,DranSword,2,1,1,3,5,5,0,1000.0,1
2,7,GolemRock,2,1,1,3,4,7,-3,1000.0,-2
2,8,CerberusFlame,2,0,2,0,4,8,-4,1000.0,-2
2,9,ViperTail,2,0,2,0,2,10,-8,1000.0,1
2,10,FoxBrush,2,0,2,0,0,10,-10,1000.0,-2
3,1,TuskMammoth,3,3,0,11,13,2,11,1000.0,1
3,2,CobaltDragoon,3,3,0,10,14,3,11,1000.0,1
3,3,ImpactDrake,3,2,1,8,12,5,7,1000.0,-2
3,4,LeonCrest,3,2,1,8,9,4,5,1000.0,0
3,5,ScorpioSpear,3,2,1,8,9,4,5,1000.0,0
3,6,DranSword,3,1,2,3,5,10,-5,1000.0,0
3,7,FoxBrush,3,1,2,3,4,12,-8,1000.0,3
3,8,GolemRock,3,1,2,3,4,12,-8,1000.0,-1
3,9,CerberusFlame,3,0,3,0,4,12,-8,1000.0,-1
3,10,ViperTail,3,0,3,0,4,14,-10,1000.0,-1
4,1,TuskMammoth,4,4,0,14,19,4,15,1000.0,0
4,2,ImpactDrake,4,3,1,12,16,5,11,1000.0,1
4,3,LeonCrest,4,3,1,12,13,4,9,1000.0,1
4,4,ScorpioSpear,4,3,1,12,13,4,9,1000.0,1
4,5,CobaltDragoon,4,3,1,10,14,7,7,1000.0,-3
4,6,CerberusFlame,4,1,3,4,8,12,-4,1000.0,3
4,7,DranSword,4,1,3,3,5,14,-9,1000.0,-1
4,8,FoxBrush,4,1,3,3,6,18,-12,1000.0,-1
4,9,GolemRock,4,1,3,3,4,16,-12,1000.0,-1
4,10,ViperTail,4,0,4,0,4,18,-14,1000.0,0
5,1,LeonCrest,5,4,1,16,17,4,13,1000.0,2
5,2,ImpactDrake,5,4,1,15,20,7,13,1000.0,0
5,3,ScorpioSpear,5,4,1,15,17,7,10,1000.0,1
5,4,TuskMammoth,5,4,1,14,19,9,10,1000.0,-3
5,5,CobaltDragoon,5,3,2,10,14,11,3,1000.0,0
5,6,FoxBrush,5,2,3,6,10,21,-11,1000.0,2
5,7,CerberusFlame,5,1,4,4,11,16,-5,1000.0,-1
5,8,ViperTail,5,1,4,4,9,18,-9,1000.0,2
5,9,DranSword,5,1,4,3,7,18,-11,1000.0,-2
5,10,GolemRock,5,1,4,3,7,20,-13,1000.0,-1
6,1,LeonCrest,6,5,1,19,21,5,16,1000.0,0
6,2,ImpactDrake,6,4,2,15,22,11,11,1000.0,0
6,3,ScorpioSpear,6,4,2,15,17,12,5,1000.0,0
6,4,TuskMammoth,6,4,2,14,19,13,6,1000.0,0
6,5,CobaltDragoon,6,4,2,13,18,13,5,1000.0,0
6,6,ViperTail,6,2,4,8,14,18,-4,1000.0,2
6,7,GolemRock,6,2,4,7,11,20,-9,1000.0,3
6,8,DranSword,6,2,4,6,12,19,-7,1000.0,1
6,9,FoxBrush,6,2,4,6,11,26,-15,1000.0,-3
6,10,CerberusFlame,6,1,5,4,12,20,-8,1000.0,-3
7,1,LeonCrest,7,5,2,19,23,10,13,1000.0,0
7,2,ImpactDrake,7,5,2,18,27,14,13,1000.0,0
7,3,ScorpioSpear,7,5,2,18,22,14,8,1000.0,0
7,4,TuskMammoth,7,4,3,14,19,18,1,1000.0,0
7,5,CobaltDragoon,7,4,3,13,19,18,1,1000.0,0
7,6,DranSword,7,3,4,10,17,19,-2,1000.0,2
7,7,GolemRock,7,3,4,10,16,22,-6,1000.0,0
7,8,FoxBrush,7,3,4,9,16,27,-11,1000.0,1
7,9,ViperTail,7,2,5,8,16,23,-7,1000.0,-3
7,10,CerberusFlame,7,1,6,4,15,25,-10,1000.0,0
