Event,MatchIndex,Played,PassiveChange,Date,Bey,ELO,Position,Spiele,Siege,Niederlagen,Winrate
225,1,1,0,2026-01-30,ValkyrieVolt,1024,1,1,1,0,1.0
225,1,1,0,2026-01-30,DranDagger,976,2,1,0,1,0.0
226,1,1,0,2026-01-30,PegasusBlast,1014,2,1,1,0,1.0
226,1,1,0,2026-01-30,DranBrave,986,3,1,0,1,0.0
226,1,0,1,2026-01-30,DranDagger,976,4,1,0,1,0.0
227,1,0,1,2026-01-30,DranBrave,986,4,1,0,1,0.0
227,1,1,0,2026-01-30,ImpactDrake,980,5,1,0,1,0.0
227,1,0,1,2026-01-30,PegasusBlast,1014,3,1,1,0,1.0
227,1,1,0,2026-01-30,TuskMammoth,1020,2,1,1,0,1.0
227,1,0,1,2026-01-30,DranDagger,976,6,1,0,1,0.0
228,1,0,1,2026-01-30,DranBrave,986,5,1,0,1,0.0
228,1,0,1,2026-01-30,ImpactDrake,980,6,1,0,1,0.0
228,1,0,1,2026-01-30,PegasusBlast,1014,4,1,1,0,1.0
228,1,0,1,2026-01-30,TuskMammoth,1020,3,1,1,0,1.0
228,1,1,0,2026-01-30,SamuraiSaber,1024,2,1,1,0,1.0
228,1,1,0,2026-01-30,DranSword,976,8,1,0,1,0.0
228,1,0,1,2026-01-30,DranDagger,976,7,1,0,1,0.0
229,1,0,1,2026-01-30,DranBrave,986,6,1,0,1,0.0
229,1,1,0,2026-01-30,PhoenixWing,1016,4,1,1,0,1.0
229,1,0,1,2026-01-30,ImpactDrake,980,8,1,0,1,0.0
229,1,0,1,2026-01-30,PegasusBlast,1014,5,1,1,0,1.0
229,1,1,0,2026-01-30,CobaltDragoon,984,7,1,0,1,0.0
229,1,0,1,2026-01-30,DranSword,976,10,1,0,1,0.0
229,1,0,1,2026-01-30,DranDagger,976,9,1,0,1,0.0
230,1,0,1,2026-01-30,DranBrave,986,7,1,0,1,0.0
230,1,0,1,2026-01-30,PhoenixWing,1016,5,1,1,0,1.0
230,1,0,1,2026-01-30,ImpactDrake,980,9,1,0,1,0.0
230,1,0,1,2026-01-30,PegasusBlast,1014,6,1,1,0,1.0
230,1,1,0,2026-01-30,CobaltDrake,1024,3,1,1,0,1.0
230,1,0,1,2026-01-30,TuskMammoth,1020,4,1,1,0,1.0
230,1,0,1,2026-01-30,CobaltDragoon,984,8,1,0,1,0.0
230,1,1,0,2026-01-30,DranBuster,976,12,1,0,1,0.0
230,1,0,1,2026-01-30,DranSword,976,11,1,0,1,0.0
230,1,0,1,2026-01-30,DranDagger,976,10,1,0,1,0.0
231,1,1,0,2026-01-30,TyrannoBeat,1020,5,1,1,0,1.0
231,1,0,1,2026-01-30,DranBrave,986,8,1,0,1,0.0
231,1,0,1,2026-01-30,PhoenixWing,1016,6,1,1,0,1.0
231,1,0,1,2026-01-30,ImpactDrake,980,10,1,0,1,0.0
231,1,0,1,2026-01-30,PegasusBlast,1014,7,1,1,0,1.0
231,1,1,0,2026-01-30,FoxBrush,980,11,1,0,1,0.0
231,1,0,1,2026-01-30,CobaltDragoon,984,9,1,0,1,0.0
231,1,0,1,2026-01-30,DranBuster,976,14,1,0,1,0.0
231,1,0,1,2026-01-30,DranSword,976,13,1,0,1,0.0
231,1,0,1,2026-01-30,DranDagger,976,12,1,0,1,0.0
232,1,1,0,2026-01-30,SharkScale,1020,6,1,1,0,1.0
232,1,0,1,2026-01-30,DranBrave,986,9,1,0,1,0.0
232,1,0,1,2026-01-30,PhoenixWing,1016,7,1,1,0,1.0
232,1,0,1,2026-01-30,ImpactDrake,980,11,1,0,1,0.0
232,1,0,1,2026-01-30,PegasusBlast,1014,8,1,1,0,1.0
232,1,0,1,2026-01-30,FoxBrush,980,12,1,0,1,0.0
232,1,0,1,2026-01-30,CobaltDragoon,984,10,1,0,1,0.0
232,1,0,1,2026-01-30,DranBuster,976,16,1,0,1,0.0
232,1,0,1,2026-01-30,DranSword,976,15,1,0,1,0.0
232,1,1,0,2026-01-30,SharkEdge,980,13,1,0,1,0.0
232,1,0,1,2026-01-30,DranDagger,976,14,1,0,1,0.0
