Platz,Name,ELO,Spiele,Siege,Niederlagen,Winrate,Gewonnene Punkte,Verlorene Punkte,Differenz,Positionsdelta,ELOdelta
1,ImpactDrake,1066,5,5,0,100.0%,23,5,18,→ 0,+66
2,FoxBrush,1036,5,4,1,80.0%,18,10,8,→ 0,+36
3,UnicornSting,1020,3,2,1,66.7%,9,5,4,→ 0,+20
4,WeissTiger,1017,2,1,1,50.0%,7,4,3,→ 0,+17
5,PerseusDark,1014,2,1,1,50.0%,7,4,3,→ 0,+14
6,DranSword,1013,4,3,1,75.0%,15,11,4,→ 0,+13
7,CobaltDragoon,1013,2,1,1,50.0%,7,4,3,→ 0,+13
8,DranDagger,1008,2,1,1,50.0%,5,4,1,→ 0,+8
9,WizardRod,1005,4,3,1,75.0%,13,11,2,→ 0,+5
10,PhoenixRudder,1003,3,2,1,66.7%,10,9,1,→ 0,+3
11,GolemRock,1003,2,1,1,50.0%,4,4,0,→ 0,+3
12,DranBrave,1002,2,1,1,50.0%,7,7,0,→ 0,+2
13,LeonCrest,1000,1,0,1,0.0%,3,4,-1,→ 0,0
14,TyrannoBeat,1000,2,1,1,50.0%,6,7,-1,→ 0,0
15,HellsHammer,998,1,0,1,0.0%,3,4,-1,→ 0,-2
16,TuskMammoth,998,3,2,1,66.7%,9,8,1,→ 0,-2
17,SilverWolf,997,1,0,1,0.0%,3,4,-1,→ 0,-3
18,ViperTail,997,2,1,1,50.0%,6,7,-1,→ 0,-3
19,WizardArrow,996,1,0,1,0.0%,3,4,-1,→ 0,-4
20,WizardArc,993,1,0,1,0.0%,2,4,-2,→ 0,-7
21,ScorpioSpear,993,1,0,1,0.0%,2,4,-2,→ 0,-7
22,HellsReaper,993,1,0,1,0.0%,2,4,-2,→ 0,-7
23,HellsChain,993,1,0,1,0.0%,2,4,-2,→ 0,-7
24,SamuraiSaber,993,1,0,1,0.0%,2,4,-2,→ 0,-7
25,PhoenixWing,991,3,2,1,66.7%,8,9,-1,→ 0,-9
26,DranBuster,982,1,0,1,0.0%,0,5,-5,→ 0,-18
27,LeonClaw,980,1,0,1,0.0%,0,4,-4,→ 0,-20
28,RhinoReaper,980,1,0,1,0.0%,0,4,-4,→ 0,-20
29,WhaleWave,980,1,0,1,0.0%,0,5,-5,→ 0,-20
30,SharkEdge,980,1,0,1,0.0%,0,5,-5,→ 0,-20
31,CrimsonGaruda,979,1,0,1,0.0%,0,4,-4,→ 0,-21
32,BlackShell,979,1,0,1,0.0%,0,4,-4,→ 0,-21
