Platz,Name,ELO,Spiele,Siege,Niederlagen,Winrate,Gewonnene Punkte,Verlorene Punkte,Differenz,Positionsdelta,ELOdelta
1,FoxBrush,1046,2,2,0,100.0%,10,2,8,→ 0,0
2,UnicornSting,1042,2,2,0,100.0%,8,1,7,→ 0,0
3,ImpactDrake,1037,2,2,0,100.0%,8,3,5,→ 0,0
4,TuskMammoth,1033,2,2,0,100.0%,9,4,5,→ 0,0
5,PhoenixWing,1030,2,2,0,100.0%,8,5,3,▲ 6,+19
6,DranSword,1029,2,2,0,100.0%,9,6,3,▼ 1,0
7,PerseusDark,1019,1,1,0,100.0%,5,0,5,→ 0,0
8,WeissTiger,1016,1,1,0,100.0%,4,0,4,→ 0,0
9,PhoenixRudder,1011,1,1,0,100.0%,4,2,2,→ 0,0
10,WizardRod,1011,1,1,0,100.0%,4,3,1,→ 0,0
11,WyvernHover,1000,0,0,0,0.0%,0,0,0,▲ 1,0
12,SolEclipse,1000,0,0,0,0.0%,0,0,0,▲ 1,0
13,CobaltDrake,1000,0,0,0,0.0%,0,0,0,▲ 1,0
14,TyrannoRoar,1000,0,0,0,0.0%,0,0,0,▲ 1,0
15,PegasusBlast,1000,0,0,0,0.0%,0,0,0,▲ 1,0
16,ClockMirage,1000,0,0,0,0.0%,0,0,0,▲ 1,0
17,WolfHunt,1000,0,0,0,0.0%,0,0,0,▲ 1,0
18,WhaleFlame,1000,0,0,0,0.0%,0,0,0,▲ 1,0
19,KnightMail,1000,0,0,0,0.0%,0,0,0,▲ 1,0
20,CerberusFlame,1000,0,0,0,0.0%,0,0,0,▲ 1,0
21,HellsBrave,1000,0,0,0,0.0%,0,0,0,▲ 1,0
22,ValkyrieVolt,1000,0,0,0,0.0%,0,0,0,▲ 1,0
23,EmperorMight,1000,0,0,0,0.0%,0,0,0,▲ 1,0
24,SharkScale,1000,0,0,0,0.0%,0,0,0,▲ 1,0
25,CobaltDragoon,994,2,1,1,50.0%,7,4,3,▼ 19,-25
26,DranBrave,992,2,1,1,50.0%,7,7,0,→ 0,0
27,DranDagger,990,2,1,1,50.0%,5,4,1,→ 0,0
28,TyrannoBeat,990,2,1,1,50.0%,6,7,-1,→ 0,0
29,ViperTail,989,2,1,1,50.0%,6,7,-1,→ 0,0
30,SilverWolf,989,1,0,1,0.0%,3,4,-1,→ 0,0
31,HellsHammer,989,1,0,1,0.0%,3,4,-1,→ 0,0
32,LeonCrest,989,1,0,1,0.0%,3,4,-1,→ 0,0
33,WizardArrow,989,1,0,1,0.0%,3,4,-1,→ 0,0
34,SamuraiSaber,989,1,0,1,0.0%,2,4,-2,→ 0,0
35,WizardArc,989,1,0,1,0.0%,2,4,-2,→ 0,0
36,HellsReaper,989,1,0,1,0.0%,2,4,-2,→ 0,0
37,ScorpioSpear,989,1,0,1,0.0%,2,4,-2,→ 0,0
38,HellsChain,989,1,0,1,0.0%,2,4,-2,→ 0,0
39,GolemRock,984,2,1,1,50.0%,4,4,0,→ 0,0
40,RhinoReaper,984,1,0,1,0.0%,0,4,-4,→ 0,0
41,LeonClaw,984,1,0,1,0.0%,0,4,-4,→ 0,0
42,BlackShell,984,1,0,1,0.0%,0,4,-4,→ 0,0
43,CrimsonGaruda,984,1,0,1,0.0%,0,4,-4,→ 0,0
44,DranBuster,981,1,0,1,0.0%,0,5,-5,→ 0,0
45,SharkEdge,981,1,0,1,0.0%,0,5,-5,→ 0,0
46,WhaleWave,981,1,0,1,0.0%,0,5,-5,→ 0,0
