Platz,Name,ELO,Spiele,Siege,Niederlagen,Winrate,Gewonnene Punkte,Verlorene Punkte,Differenz,Positionsdelta,ELOdelta
1,ImpactDrake,1111,6,6,0,100.0%,27,8,19,→ 0,0
2,FoxBrush,1046,5,4,1,80.0%,18,10,8,→ 0,0
3,UnicornSting,1043,4,3,1,75.0%,14,7,7,→ 0,0
4,CobaltDragoon,1028,3,2,1,66.7%,12,7,5,▲ 1,0
5,KnightMail,1026,1,1,0,100.0%,5,0,5,▲ 1,0
6,TuskMammoth,1017,3,2,1,66.7%,9,8,1,▲ 1,0
7,CerberusFlame,1017,1,1,0,100.0%,4,1,3,▲ 1,0
8,DranSword,1015,5,3,2,60.0%,16,15,1,▼ 4,-21
9,HellsChain,1014,2,1,1,50.0%,8,7,1,→ 0,0
10,GolemRock,1014,3,2,1,66.7%,8,6,2,→ 0,0
11,SilverWolf,1006,2,1,1,50.0%,7,5,2,→ 0,0
12,WizardRod,1004,5,3,2,60.0%,15,16,-1,→ 0,0
13,DranDagger,1002,2,1,1,50.0%,5,4,1,→ 0,0
14,BlackShell,1001,2,1,1,50.0%,4,5,-1,▲ 20,+21
15,WeissTiger,1000,3,1,2,33.3%,10,8,2,▼ 1,0
16,EmperorMight,1000,0,0,0,0.0%,0,0,0,▼ 1,0
17,WyvernHover,1000,0,0,0,0.0%,0,0,0,▼ 1,0
18,WolfHunt,1000,0,0,0,0.0%,0,0,0,▼ 1,0
19,WhaleFlame,1000,0,0,0,0.0%,0,0,0,▼ 1,0
20,PegasusBlast,1000,0,0,0,0.0%,0,0,0,▼ 1,0
21,SharkScale,1000,0,0,0,0.0%,0,0,0,▼ 1,0
22,CobaltDrake,1000,0,0,0,0.0%,0,0,0,▼ 1,0
23,SolEclipse,1000,0,0,0,0.0%,0,0,0,▼ 1,0
24,ValkyrieVolt,1000,0,0,0,0.0%,0,0,0,▼ 1,0
25,DranBrave,995,2,1,1,50.0%,7,7,0,▼ 1,0
26,PhoenixRudder,994,4,2,2,50.0%,11,13,-2,▼ 1,0
27,ViperTail,992,2,1,1,50.0%,6,7,-1,▼ 1,0
28,WizardArrow,988,1,0,1,0.0%,3,4,-1,▼ 1,0
29,HellsHammer,988,1,0,1,0.0%,3,4,-1,▼ 1,0
30,ScorpioSpear,985,1,0,1,0.0%,2,4,-2,▼ 1,0
31,SamuraiSaber,985,1,0,1,0.0%,2,4,-2,▼ 1,0
32,HellsReaper,985,1,0,1,0.0%,2,4,-2,▼ 1,0
33,PerseusDark,984,3,1,2,33.3%,7,9,-2,▼ 1,0
34,PhoenixWing,980,4,2,2,50.0%,11,15,-4,▼ 1,0
35,LeonClaw,980,1,0,1,0.0%,0,4,-4,→ 0,0
36,RhinoReaper,980,1,0,1,0.0%,0,4,-4,→ 0,0
37,CrimsonGaruda,980,1,0,1,0.0%,0,4,-4,→ 0,0
38,TyrannoBeat,976,3,1,2,33.3%,7,11,-4,→ 0,0
39,SharkEdge,975,1,0,1,0.0%,0,5,-5,→ 0,0
40,WhaleWave,975,1,0,1,0.0%,0,5,-5,→ 0,0
41,DranBuster,975,1,0,1,0.0%,0,5,-5,→ 0,0
42,LeonCrest,973,2,0,2,0.0%,5,8,-3,→ 0,0
43,WizardArc,966,2,0,2,0.0%,5,9,-4,→ 0,0
