Platz,Name,ELO,Spiele,Siege,Niederlagen,Winrate,Gewonnene Punkte,Verlorene Punkte,Differenz,Positionsdelta,ELOdelta
1,ValkyrieVolt,1174,13,12,1,92.3%,65,16,49,→ 0,0
2,ImpactDrake,1131,28,20,8,71.4%,106,59,47,→ 0,0
3,TuskMammoth,1102,38,26,12,68.4%,128,95,33,→ 0,0
4,ScorpioSpear,1091,23,16,7,69.6%,81,50,31,→ 0,0
5,SharkScale,1087,15,11,4,73.3%,61,29,32,→ 0,0
6,FoxBrush,1074,24,15,9,62.5%,74,65,9,→ 0,0
7,CobaltDragoon,1056,21,13,8,61.9%,70,50,20,→ 0,0
8,GolemRock,1053,26,15,11,57.7%,77,62,15,→ 0,0
9,LeonCrest,1048,22,13,9,59.1%,69,53,16,→ 0,+5
10,WyvernHover,1037,6,4,2,66.7%,18,13,5,→ 0,0
11,WeissTiger,1037,15,8,7,53.3%,44,38,6,→ 0,0
12,PerseusDark,1031,18,10,8,55.6%,57,46,11,▲ 1,0
13,KnightMail,1030,18,9,9,50.0%,53,49,4,▲ 1,0
14,CerberusFlame,1027,24,11,13,45.8%,59,67,-8,▼ 2,-5
15,DranSword,1022,22,11,11,50.0%,58,69,-11,→ 0,0
16,ViperTail,1016,18,9,9,50.0%,53,49,4,→ 0,0
17,DranBrave,1015,22,12,10,54.5%,66,59,7,→ 0,0
18,HellsReaper,1012,17,8,9,47.1%,48,46,2,→ 0,0
19,DranDagger,1001,22,10,12,45.5%,60,71,-11,→ 0,0
20,ClockMirage,1000,0,0,0,0.0%,0,0,0,→ 0,0
21,TyrannoRoar,1000,0,0,0,0.0%,0,0,0,→ 0,0
22,HellsBrave,1000,0,0,0,0.0%,0,0,0,→ 0,0
23,RhinoReaper,1000,17,8,9,47.1%,56,57,-1,→ 0,0
24,SilverWolf,993,14,6,8,42.9%,39,45,-6,→ 0,0
25,HellsChain,993,19,9,10,47.4%,55,51,4,→ 0,0
26,WhaleWave,989,20,9,11,45.0%,53,66,-13,→ 0,0
27,PhoenixWing,989,25,10,15,40.0%,58,83,-25,→ 0,0
28,WolfHunt,988,3,1,2,33.3%,6,8,-2,→ 0,0
29,LeonClaw,986,17,8,9,47.1%,45,52,-7,→ 0,0
30,EmperorMight,984,3,1,2,33.3%,4,10,-6,→ 0,0
31,SharkEdge,982,21,10,11,47.6%,54,67,-13,→ 0,0
32,UnicornSting,980,17,8,9,47.1%,42,47,-5,→ 0,0
33,CobaltDrake,979,11,4,7,36.4%,31,37,-6,→ 0,0
34,SolEclipse,975,15,6,9,40.0%,41,50,-9,→ 0,0
35,CrimsonGaruda,963,19,8,11,42.1%,47,56,-9,→ 0,0
36,PhoenixRudder,962,9,3,6,33.3%,17,31,-14,→ 0,0
37,WizardRod,960,16,7,9,43.8%,44,52,-8,→ 0,0
38,WizardArc,958,14,6,8,42.9%,44,47,-3,→ 0,0
39,DranBuster,954,11,3,8,27.3%,24,38,-14,→ 0,0
40,WhaleFlame,947,5,1,4,20.0%,8,19,-11,→ 0,0
41,BlackShell,931,9,2,7,22.2%,11,32,-21,→ 0,0
42,TyrannoBeat,929,12,3,9,25.0%,22,42,-20,→ 0,0
43,PegasusBlast,928,8,2,6,25.0%,15,30,-15,→ 0,0
44,SamuraiSaber,914,13,3,10,23.1%,24,43,-19,→ 0,0
45,HellsHammer,903,5,0,5,0.0%,6,23,-17,→ 0,0
46,WizardArrow,892,7,0,7,0.0%,7,28,-21,→ 0,0
