Platz,Name,ELO,Spiele,Siege,Niederlagen,Winrate,Gewonnene Punkte,Verlorene Punkte,Differenz
1,FoxBrush,1073,10,9,1,90.0%,42,17,25
2,ImpactDrake,1050,8,7,1,87.5%,33,14,19
3,CerberusFlame,1026,4,3,1,75.0%,13,6,7
4,CobaltDragoon,1024,5,3,2,60.0%,20,12,8
5,DranDagger,1018,5,3,2,60.0%,16,12,4
6,KnightMail,1017,3,2,1,66.7%,12,7,5
7,RhinoReaper,1016,6,4,2,66.7%,22,19,3
8,WeissTiger,1013,3,1,2,33.3%,10,8,2
9,TuskMammoth,1011,7,5,2,71.4%,25,16,9
10,UnicornSting,1005,5,3,2,60.0%,14,12,2
11,ViperTail,1003,4,2,2,50.0%,11,12,-1
12,DranSword,1001,5,3,2,60.0%,16,15,1
13,SilverWolf,999,4,2,2,50.0%,11,11,0
14,WizardRod,999,5,3,2,60.0%,15,16,-1
15,DranBuster,996,3,1,2,33.3%,6,9,-3
16,HellsChain,996,3,1,2,33.3%,11,12,-1
17,GolemRock,995,4,2,2,50.0%,9,10,-1
18,WizardArrow,995,2,0,2,0.0%,6,8,-2
19,WhaleFlame,994,1,0,1,0.0%,2,4,-2
20,PerseusDark,994,3,1,2,33.3%,7,9,-2
21,ScorpioSpear,993,4,2,2,50.0%,10,13,-3
22,PhoenixRudder,993,4,2,2,50.0%,11,13,-2
23,LeonCrest,992,2,0,2,0.0%,5,8,-3
24,WizardArc,991,2,0,2,0.0%,5,9,-4
25,TyrannoBeat,989,3,1,2,33.3%,7,11,-4
26,HellsReaper,989,2,0,2,0.0%,4,8,-4
27,KeelShark,988,3,1,2,33.3%,6,10,-4
28,PhoenixWing,988,4,2,2,50.0%,11,15,-4
29,PegasusBlast,985,1,0,1,0.0%,0,4,-4
30,DranBrave,985,3,1,2,33.3%,7,11,-4
31,HellsHammer,982,2,0,2,0.0%,3,9,-6
32,LeonClaw,982,2,0,2,0.0%,2,8,-6
33,BlackShell,981,3,1,2,33.3%,4,9,-5
34,WhaleWave,981,3,1,2,33.3%,5,11,-6
35,SamuraiSaber,978,2,0,2,0.0%,2,8,-6
36,CrimsonGaruda,974,2,0,2,0.0%,1,8,-7
